generation,best_in_population,mean_fitness,global_best_fitness
0,-896.097017,-2280.487999,-896.097017
1,-896.097017,-1867.963392,-896.097017
2,-896.097017,-1617.525338,-896.097017
3,-896.097017,-1611.923587,-896.097017
4,-896.097017,-1485.469575,-896.097017
5,-896.097017,-1341.569847,-896.097017
6,-896.097017,-1544.000279,-896.097017
7,-856.493153,-1571.591939,-856.493153
8,-852.676613,-1576.686614,-852.676613
9,-852.676613,-1467.645589,-852.676613
10,-852.676613,-1556.171316,-852.676613
11,-852.676613,-1504.391192,-852.676613
12,-852.676613,-1461.378985,-852.676613
13,400.920000,-1380.394045,400.920000
14,400.920000,-1453.985335,400.920000
15,400.920000,-937.393997,400.920000
16,406.240000,-505.934240,406.240000
17,406.240000,-166.174605,406.240000
18,441.566667,26.012820,441.566667
19,441.566667,-230.395711,441.566667
20,446.910000,-484.895409,446.910000
21,462.520000,-615.580855,462.520000
22,462.520000,-671.115694,462.520000
23,462.520000,-629.797778,462.520000
24,462.520000,-918.667808,462.520000
25,464.760000,-421.537597,464.760000
26,464.760000,-399.347003,464.760000
27,464.760000,-296.723933,464.760000
28,464.806667,-490.195378,464.806667
29,464.806667,-588.773188,464.806667
30,464.806667,-403.361518,464.806667
31,464.806667,-380.688957,464.806667
32,464.806667,-433.411715,464.806667
33,464.806667,-372.519485,464.806667
34,464.806667,-453.222702,464.806667
35,464.806667,-359.798728,464.806667
36,464.806667,-634.907660,464.806667
37,464.806667,-700.080159,464.806667
38,464.806667,-626.283158,464.806667
39,464.806667,-104.468319,464.806667
40,464.806667,67.606657,464.806667
41,464.806667,-631.476265,464.806667
42,464.806667,-407.143408,464.806667
43,464.806667,-498.098771,464.806667
44,464.806667,-963.780165,464.806667
45,464.806667,-315.110509,464.806667
46,464.806667,-1010.707262,464.806667
47,464.806667,-379.657957,464.806667
48,464.806667,-312.239748,464.806667
49,464.806667,-284.549864,464.806667
50,464.806667,-499.767639,464.806667
