generation,best_in_population,mean_fitness,global_best_fitness
0,-1500.000000,-1509.471867,-1500.000000
1,-1500.000000,-1503.929533,-1500.000000
2,-1500.000000,-1500.155620,-1500.000000
3,-1500.000000,-1500.047160,-1500.000000
4,-1500.000000,-1500.030853,-1500.000000
5,-1500.000000,-1500.032260,-1500.000000
6,-1500.000000,-1500.067067,-1500.000000
7,-1500.000000,-1500.017840,-1500.000000
8,-1500.000000,-1500.042487,-1500.000000
9,-1500.000000,-1500.029813,-1500.000000
10,-1500.000000,-1500.099167,-1500.000000
0,981.703667,-315.496380,981.703667
1,983.308333,4.837580,983.308333
2,985.969000,92.841767,985.969000
3,985.969000,563.727499,985.969000
4,986.552000,386.395074,986.552000
5,987.646333,456.117850,987.646333
6,989.830667,430.190448,989.830667
7,989.830667,495.598568,989.830667
8,989.830667,290.920453,989.830667
9,991.291667,387.769099,991.291667
10,991.325000,489.078318,991.325000
11,991.391000,332.075374,991.391000
12,991.571333,543.594105,991.571333
13,991.742333,462.761931,991.742333
14,991.742333,444.112507,991.742333
15,991.779333,519.843476,991.779333
16,991.779333,266.957626,991.779333
17,991.861333,313.247865,991.861333
18,992.066333,471.849534,992.066333
19,992.066333,485.227434,992.066333
20,992.071667,476.402660,992.071667
21,992.096000,374.280642,992.096000
22,992.267667,432.522641,992.267667
23,992.267667,291.052394,992.267667
24,992.273333,403.731790,992.273333
25,992.381333,377.603371,992.381333
0,487.262000,-325.338183,487.262000
1,487.262000,-66.426212,487.262000
2,988.199333,-20.977269,988.199333
3,989.054333,286.929557,989.054333
4,989.371333,697.313209,989.371333
5,989.378000,654.147132,989.378000
6,992.438000,415.204561,992.438000
7,992.438000,493.059595,992.438000
8,992.438000,512.981083,992.438000
9,992.438000,567.735371,992.438000
10,992.438000,437.333461,992.438000
11,992.438000,525.868753,992.438000
12,992.438000,559.835085,992.438000
13,992.515333,468.415411,992.515333
14,992.515333,404.609904,992.515333
15,992.515333,496.895480,992.515333
16,992.907667,493.688599,992.907667
17,993.075000,364.599865,993.075000
18,993.075000,520.294848,993.075000
19,993.075000,563.956692,993.075000
20,993.082333,538.581627,993.082333
21,993.123667,526.146669,993.123667
22,993.800000,556.161447,993.800000
23,993.806667,582.093927,993.806667
24,993.806667,663.338747,993.806667
25,993.806667,485.069415,993.806667
26,993.806667,548.149860,993.806667
27,993.806667,453.505377,993.806667
28,993.806667,483.048663,993.806667
29,993.806667,407.891150,993.806667
30,993.806667,453.697260,993.806667
31,993.806667,650.247255,993.806667
32,993.806667,476.896525,993.806667
33,993.806667,478.384455,993.806667
34,993.806667,561.010505,993.806667
35,993.806667,447.149847,993.806667
36,993.806667,560.388390,993.806667
37,993.837000,636.685767,993.837000
38,993.837000,437.138341,993.837000
39,993.837000,657.958521,993.837000
40,994.133333,475.563086,994.133333
41,994.133333,478.108114,994.133333
42,994.133333,337.702443,994.133333
43,994.133333,364.871463,994.133333
44,994.133333,336.082142,994.133333
45,994.133333,248.366554,994.133333
46,994.133333,402.979755,994.133333
47,994.133333,384.825364,994.133333
48,994.133333,349.042202,994.133333
49,994.133333,421.649761,994.133333
50,994.133333,311.737079,994.133333
51,994.142667,234.068985,994.142667
52,994.142667,259.306256,994.142667
53,994.142667,324.561555,994.142667
54,994.142667,297.185065,994.142667
55,994.142667,263.590213,994.142667
56,994.142667,201.441458,994.142667
57,994.142667,232.710250,994.142667
58,994.142667,88.550351,994.142667
59,994.142667,141.230000,994.142667
60,994.142667,163.471694,994.142667
61,994.142667,175.840790,994.142667
62,994.162667,298.874412,994.162667
63,994.162667,241.166467,994.162667
64,994.168333,303.763898,994.168333
65,994.168333,253.587030,994.168333
66,994.168333,257.752158,994.168333
67,994.168333,233.063027,994.168333
68,994.168333,265.108799,994.168333
69,994.168333,251.675075,994.168333
70,994.168333,401.877693,994.168333
71,994.168333,359.508366,994.168333
72,994.168333,338.725215,994.168333
73,994.183333,218.700087,994.183333
74,994.183333,336.445283,994.183333
75,994.200667,235.680452,994.200667
76,994.200667,335.703871,994.200667
77,994.200667,280.385911,994.200667
78,994.200667,330.497827,994.200667
79,994.200667,233.168801,994.200667
