generation,best_in_population,mean_fitness,global_best_fitness
0,-1091.488800,-1144.366991,-1091.488800
1,-1091.488800,-1091.488800,-1091.488800
2,-1091.488800,-1102.005133,-1091.488800
3,-1091.488800,-1091.488800,-1091.488800
4,-1091.488800,-1100.708578,-1091.488800
5,-1091.488800,-1102.133467,-1091.488800
6,-1091.488800,-1106.232852,-1091.488800
7,-1091.488800,-1115.379507,-1091.488800
8,-1091.488800,-1109.537133,-1091.488800
9,-1091.488800,-1103.891244,-1091.488800
10,-1091.488800,-1110.164800,-1091.488800
11,-1091.488800,-1091.488800,-1091.488800
12,-1091.488800,-1091.488800,-1091.488800
13,-1091.488800,-1091.488800,-1091.488800
14,-1091.488800,-1092.483858,-1091.488800
15,-1091.488800,-1091.488800,-1091.488800
16,-1091.488800,-1091.488800,-1091.488800
17,-1091.488800,-1091.488800,-1091.488800
18,-1091.488800,-1093.265406,-1091.488800
19,-1091.488800,-1094.435633,-1091.488800
20,-1091.488800,-1091.488800,-1091.488800
21,-1091.488800,-1105.105840,-1091.488800
22,-1091.488800,-1091.488800,-1091.488800
23,-1091.488800,-1105.105840,-1091.488800
24,-1091.488800,-1105.105840,-1091.488800
25,-1091.488800,-1091.488800,-1091.488800
26,-1090.471264,-1091.454882,-1090.471264
27,-1063.175632,-1117.362905,-1063.175632
28,-1063.175632,-1103.623284,-1063.175632
29,-1063.175632,-1109.880334,-1063.175632
30,-1062.856672,-1072.377158,-1062.856672
31,-1062.856672,-1084.984461,-1062.856672
32,-1017.664432,-1082.637610,-1017.664432
33,-867.738880,-1068.793236,-867.738880
34,-867.738880,-1043.605978,-867.738880
35,-849.287936,-1037.649141,-849.287936
36,-842.284720,-953.688461,-842.284720
37,-826.276256,-895.122748,-826.276256
38,-826.276256,-895.617680,-826.276256
39,-826.276256,-876.974745,-826.276256
40,-825.699088,-943.564380,-825.699088
41,-825.699088,-898.787565,-825.699088
42,-825.699088,-830.991692,-825.699088
43,-806.614976,-953.836364,-806.614976
44,-800.090784,-901.765798,-800.090784
45,-796.989392,-881.026059,-796.989392
46,-796.989392,-895.924733,-796.989392
47,-796.989392,-897.121314,-796.989392
48,-796.989392,-875.906019,-796.989392
49,-796.989392,-871.333073,-796.989392
50,-796.989392,-894.564449,-796.989392
51,-796.989392,-901.417176,-796.989392
52,-796.989392,-930.639968,-796.989392
53,-796.989392,-941.477971,-796.989392
54,-796.989392,-941.153697,-796.989392
55,-796.989392,-893.152923,-796.989392
56,-796.989392,-885.620324,-796.989392
57,-796.989392,-876.567698,-796.989392
58,-796.989392,-859.726462,-796.989392
59,-796.989392,-844.804337,-796.989392
60,-796.989392,-913.723807,-796.989392
61,-796.989392,-879.708930,-796.989392
62,-791.492800,-862.239839,-791.492800
63,-791.492800,-928.057732,-791.492800
64,-791.492800,-873.058355,-791.492800
65,-791.492800,-881.658095,-791.492800
66,-791.492800,-875.137865,-791.492800
67,-791.492800,-891.326204,-791.492800
68,-703.033728,-890.334883,-703.033728
69,-703.033728,-984.058828,-703.033728
70,-684.222512,-1017.791126,-684.222512
71,-684.222512,-987.868168,-684.222512
72,-684.222512,-985.934453,-684.222512
73,-684.222512,-959.673281,-684.222512
74,-684.222512,-970.890467,-684.222512
75,-668.957712,-866.606388,-668.957712
76,-667.113280,-901.368402,-667.113280
77,-667.113280,-964.044229,-667.113280
78,-667.113280,-1179.413009,-667.113280
79,-667.113280,-1166.241771,-667.113280
80,-667.113280,-1182.076765,-667.113280
81,-667.113280,-1149.936396,-667.113280
82,-667.113280,-1115.096509,-667.113280
83,-667.113280,-1102.591877,-667.113280
84,-667.113280,-1066.975885,-667.113280
85,-475.617504,-1042.179960,-475.617504
86,-475.617504,-1095.431689,-475.617504
87,-457.618880,-994.033745,-457.618880
88,-389.147760,-860.668144,-389.147760
89,-367.344384,-769.242604,-367.344384
90,-367.344384,-814.333879,-367.344384
91,-367.344384,-881.567422,-367.344384
92,-367.344384,-651.695117,-367.344384
93,-367.344384,-622.735894,-367.344384
94,-367.344384,-681.018004,-367.344384
95,-367.344384,-763.795374,-367.344384
96,-367.344384,-596.773535,-367.344384
97,-367.344384,-859.182402,-367.344384
98,-367.344384,-948.305038,-367.344384
99,-367.344384,-883.514475,-367.344384
100,-366.139840,-852.074865,-366.139840
101,-353.055520,-760.111507,-353.055520
102,-353.055520,-638.537961,-353.055520
103,-353.055520,-703.717164,-353.055520
104,-353.055520,-605.806845,-353.055520
105,-353.055520,-804.685756,-353.055520
106,-353.055520,-789.535544,-353.055520
107,-353.055520,-601.651856,-353.055520
108,-353.055520,-643.879627,-353.055520
109,-353.055520,-702.776236,-353.055520
110,-353.055520,-761.157875,-353.055520
111,-353.055520,-931.538679,-353.055520
112,-353.055520,-702.111559,-353.055520
113,-353.055520,-728.726900,-353.055520
114,-353.055520,-573.288402,-353.055520
115,-353.055520,-779.355412,-353.055520
116,-353.055520,-854.060771,-353.055520
117,-353.055520,-652.119463,-353.055520
118,-353.055520,-741.545600,-353.055520
119,-353.055520,-663.298559,-353.055520
120,-353.055520,-627.260306,-353.055520
121,-353.055520,-827.731835,-353.055520
122,-353.055520,-643.066312,-353.055520
123,-353.055520,-805.843755,-353.055520
124,-353.055520,-746.749924,-353.055520
125,-353.055520,-735.009710,-353.055520
126,-353.055520,-611.806898,-353.055520
127,-353.055520,-705.589635,-353.055520
128,-353.055520,-740.229712,-353.055520
129,-353.055520,-662.449339,-353.055520
130,-353.055520,-746.288878,-353.055520
131,-353.055520,-699.566890,-353.055520
132,-353.055520,-560.863005,-353.055520
133,-353.055520,-679.485125,-353.055520
134,-353.055520,-638.950092,-353.055520
135,-353.055520,-850.980023,-353.055520
136,-353.055520,-721.043929,-353.055520
137,-353.055520,-627.878055,-353.055520
138,-353.055520,-720.403085,-353.055520
139,-353.055520,-762.324237,-353.055520
140,-353.055520,-646.892731,-353.055520
141,-353.055520,-704.205403,-353.055520
142,-353.055520,-779.681313,-353.055520
143,-353.055520,-743.072102,-353.055520
144,-353.055520,-739.237369,-353.055520
145,-353.055520,-820.334690,-353.055520
146,-353.055520,-730.827550,-353.055520
147,-353.055520,-534.521646,-353.055520
148,-353.055520,-774.149475,-353.055520
149,-353.055520,-921.094192,-353.055520
150,-353.055520,-743.539011,-353.055520
151,-353.055520,-687.482473,-353.055520
152,-353.055520,-681.715307,-353.055520
153,-353.055520,-694.122622,-353.055520
154,-350.852320,-785.555687,-350.852320
155,-350.852320,-715.000572,-350.852320
156,-350.852320,-586.377161,-350.852320
157,-350.852320,-678.741006,-350.852320
158,-350.852320,-536.105246,-350.852320
159,-350.852320,-729.481342,-350.852320
160,-350.852320,-774.815225,-350.852320
161,-350.852320,-750.679600,-350.852320
162,-350.852320,-742.212195,-350.852320
163,-350.852320,-660.536755,-350.852320
164,-350.852320,-803.829422,-350.852320
165,-350.852320,-707.883667,-350.852320
166,-350.852320,-575.695804,-350.852320
167,-350.852320,-698.137851,-350.852320
168,-350.852320,-703.187954,-350.852320
169,-350.852320,-594.031248,-350.852320
170,-350.852320,-715.371472,-350.852320
171,-350.852320,-547.956936,-350.852320
172,-350.852320,-700.738709,-350.852320
173,-350.852320,-542.105149,-350.852320
174,-350.852320,-622.568031,-350.852320
175,-350.852320,-737.562157,-350.852320
176,-350.852320,-519.404931,-350.852320
177,-350.852320,-799.017176,-350.852320
178,-350.852320,-533.454206,-350.852320
179,-350.852320,-742.329307,-350.852320
180,-350.852320,-697.733183,-350.852320
181,-350.852320,-662.262571,-350.852320
182,-350.852320,-645.096226,-350.852320
183,-350.852320,-869.704745,-350.852320
184,-346.726720,-659.376967,-346.726720
185,-346.726720,-658.665047,-346.726720
186,-346.726720,-684.377691,-346.726720
187,-346.726720,-590.529551,-346.726720
188,-346.726720,-610.558567,-346.726720
189,-346.726720,-707.273840,-346.726720
190,-346.726720,-537.915962,-346.726720
191,-346.726720,-738.393557,-346.726720
192,-346.726720,-627.305776,-346.726720
193,-346.726720,-647.797486,-346.726720
194,-346.726720,-786.369294,-346.726720
195,-341.142944,-716.003251,-341.142944
196,-341.142944,-761.964017,-341.142944
197,-341.142944,-729.815031,-341.142944
198,-335.859680,-593.336161,-335.859680
199,-335.859680,-728.849895,-335.859680
200,-335.859680,-805.805046,-335.859680
201,-335.859680,-579.441001,-335.859680
202,-335.859680,-797.103046,-335.859680
203,-335.859680,-781.737731,-335.859680
204,-335.859680,-681.197061,-335.859680
205,-335.859680,-767.474864,-335.859680
206,-335.859680,-606.617683,-335.859680
207,-335.859680,-806.987883,-335.859680
208,-335.859680,-632.672728,-335.859680
209,-335.859680,-637.510933,-335.859680
210,-335.859680,-709.573264,-335.859680
211,-335.859680,-740.338140,-335.859680
212,-335.859680,-673.096411,-335.859680
213,-335.859680,-750.695475,-335.859680
214,-335.859680,-743.507542,-335.859680
215,-335.859680,-682.087159,-335.859680
216,-335.859680,-776.914762,-335.859680
217,-335.859680,-692.325419,-335.859680
218,-335.859680,-712.537424,-335.859680
219,-335.859680,-729.835720,-335.859680
220,-335.859680,-604.765686,-335.859680
221,-335.859680,-715.067602,-335.859680
222,-333.496320,-704.603322,-333.496320
223,-333.496320,-581.484944,-333.496320
224,-333.496320,-681.502465,-333.496320
225,-333.496320,-621.280702,-333.496320
226,-333.496320,-655.158701,-333.496320
227,-333.496320,-806.903170,-333.496320
228,-333.496320,-748.757172,-333.496320
229,-333.496320,-690.818139,-333.496320
230,-333.496320,-571.756776,-333.496320
231,-333.496320,-835.417942,-333.496320
232,-333.496320,-631.536845,-333.496320
233,-333.496320,-703.274618,-333.496320
234,-333.496320,-648.621950,-333.496320
235,-333.496320,-783.601683,-333.496320
236,-333.496320,-608.303901,-333.496320
237,-333.496320,-529.444908,-333.496320
238,-333.496320,-767.372085,-333.496320
239,-333.496320,-607.039929,-333.496320
240,-333.496320,-656.731064,-333.496320
241,-333.496320,-645.178400,-333.496320
242,-333.496320,-998.062455,-333.496320
243,-333.496320,-800.097792,-333.496320
244,-333.496320,-637.928044,-333.496320
245,-333.496320,-788.141164,-333.496320
246,-333.496320,-587.382735,-333.496320
247,-333.496320,-739.377331,-333.496320
248,-333.496320,-809.372549,-333.496320
249,-333.496320,-576.568002,-333.496320
250,-333.496320,-687.257116,-333.496320
251,-333.496320,-697.378294,-333.496320
252,-333.496320,-668.727195,-333.496320
253,-333.496320,-674.762925,-333.496320
254,-333.496320,-579.720989,-333.496320
255,-333.496320,-581.299401,-333.496320
256,-333.496320,-782.875023,-333.496320
257,-333.496320,-721.903344,-333.496320
258,-333.496320,-680.836827,-333.496320
259,-333.496320,-804.920199,-333.496320
260,-333.496320,-741.601404,-333.496320
261,-333.496320,-726.246752,-333.496320
262,-332.584960,-578.508410,-332.584960
263,-332.584960,-779.754389,-332.584960
264,-332.584960,-657.849313,-332.584960
265,-332.584960,-857.627310,-332.584960
266,-332.584960,-731.088701,-332.584960
267,-332.584960,-824.225523,-332.584960
268,-332.584960,-789.097567,-332.584960
269,-332.584960,-790.149662,-332.584960
270,-325.439264,-689.054886,-325.439264
271,-325.439264,-878.059846,-325.439264
272,-325.439264,-842.511237,-325.439264
273,-325.439264,-682.386318,-325.439264
274,-325.439264,-810.149322,-325.439264
275,-325.439264,-792.908239,-325.439264
276,-325.439264,-708.420172,-325.439264
277,-325.439264,-673.215903,-325.439264
278,-318.538080,-699.386292,-318.538080
279,-318.538080,-697.838341,-318.538080
280,-318.538080,-693.422028,-318.538080
281,-318.538080,-711.802081,-318.538080
282,-318.538080,-779.135764,-318.538080
283,-318.538080,-691.612176,-318.538080
284,-318.538080,-704.889558,-318.538080
285,-318.538080,-633.922227,-318.538080
286,-318.538080,-680.503930,-318.538080
287,-318.538080,-723.625654,-318.538080
288,-318.538080,-710.340510,-318.538080
289,-318.538080,-748.657853,-318.538080
290,-318.538080,-601.191372,-318.538080
291,-311.012480,-707.397730,-311.012480
292,-311.012480,-746.423586,-311.012480
293,-311.012480,-646.319557,-311.012480
294,-311.012480,-837.440249,-311.012480
295,-311.012480,-706.715644,-311.012480
296,-311.012480,-829.810499,-311.012480
297,-311.012480,-706.156878,-311.012480
298,-311.012480,-709.466782,-311.012480
299,-311.012480,-729.234413,-311.012480
300,-311.012480,-714.229120,-311.012480
301,-311.012480,-794.134705,-311.012480
302,-311.012480,-663.424230,-311.012480
