generation,best_in_population,mean_fitness,global_best_fitness
0,931.218667,-919.291578,931.218667
1,931.218667,-752.918961,931.218667
2,931.218667,-678.141537,931.218667
3,931.218667,-457.396036,931.218667
4,931.218667,-296.094279,931.218667
5,931.218667,-211.306694,931.218667
6,931.218667,-296.082636,931.218667
7,931.218667,-294.779261,931.218667
8,931.218667,-168.695723,931.218667
9,931.218667,-360.874939,931.218667
10,931.218667,-348.215966,931.218667
11,931.218667,-280.785519,931.218667
12,931.218667,-330.413545,931.218667
13,931.218667,-413.578717,931.218667
14,931.218667,-408.667840,931.218667
15,931.218667,-220.615155,931.218667
16,931.218667,-306.141112,931.218667
17,931.570667,-284.500749,931.570667
18,931.570667,-368.614204,931.570667
19,931.570667,-463.952267,931.570667
20,931.570667,-501.555894,931.570667
21,931.570667,-464.993250,931.570667
22,931.570667,-326.037047,931.570667
23,931.570667,-289.355853,931.570667
24,931.570667,-380.013875,931.570667
25,931.570667,-317.136008,931.570667
26,931.570667,-242.469554,931.570667
27,931.570667,-353.735326,931.570667
28,931.570667,-234.834828,931.570667
29,931.570667,-160.566900,931.570667
30,931.570667,-512.947299,931.570667
31,931.570667,-379.333949,931.570667
32,931.570667,-332.892514,931.570667
33,931.570667,-295.852479,931.570667
34,931.570667,-129.914585,931.570667
35,931.570667,-143.045275,931.570667
36,931.570667,-372.838699,931.570667
37,931.570667,-332.656292,931.570667
38,931.570667,-222.621633,931.570667
39,931.570667,-342.870568,931.570667
40,931.570667,-468.103459,931.570667
41,931.570667,-470.924168,931.570667
42,931.570667,-346.238888,931.570667
43,931.570667,-436.248604,931.570667
44,931.570667,-218.436472,931.570667
45,931.570667,-278.047919,931.570667
46,931.570667,-323.197463,931.570667
47,931.570667,-355.062951,931.570667
48,931.570667,-212.788595,931.570667
49,931.570667,-250.600485,931.570667
50,931.570667,-246.074710,931.570667
51,931.570667,-260.359849,931.570667
52,931.570667,-490.140693,931.570667
53,931.570667,-492.981572,931.570667
54,931.570667,-357.003166,931.570667
55,931.570667,-398.047307,931.570667
56,931.570667,-249.688486,931.570667
