generation,best_in_population,mean_fitness,global_best_fitness
0,-989.361000,-989.539020,-989.361000
1,-989.361000,-989.430847,-989.361000
2,-989.361000,-989.482087,-989.361000
3,-989.361000,-989.472753,-989.361000
4,-989.361000,-989.436107,-989.361000
5,-989.361000,-989.400400,-989.361000
6,-989.361000,-989.473647,-989.361000
7,-989.361000,-989.399420,-989.361000
8,-989.361000,-989.433200,-989.361000
9,-989.361000,-989.422453,-989.361000
10,-989.361000,-989.459973,-989.361000
11,-989.361000,-989.361000,-989.361000
12,-989.361000,-989.361000,-989.361000
13,-989.361000,-989.361000,-989.361000
14,-989.361000,-989.361000,-989.361000
15,-989.361000,-989.361000,-989.361000
16,-989.361000,-989.475829,-989.361000
17,-989.361000,-989.361000,-989.361000
18,-989.361000,-989.499938,-989.361000
19,-989.361000,-989.361000,-989.361000
20,-989.361000,-989.361000,-989.361000
21,-989.361000,-989.361000,-989.361000
22,-989.361000,-989.361000,-989.361000
23,-989.361000,-989.535542,-989.361000
24,-798.674000,-985.547260,-798.674000
25,-636.121860,-963.355375,-636.121860
26,-605.752200,-889.737012,-605.752200
27,-589.203400,-833.045582,-589.203400
28,-584.348320,-758.587879,-584.348320
29,-570.520100,-680.697636,-570.520100
30,-547.674800,-716.440111,-547.674800
31,-529.604600,-751.052233,-529.604600
32,-501.151920,-645.475628,-501.151920
33,-495.319400,-632.135527,-495.319400
34,-482.743740,-666.904713,-482.743740
35,-482.743740,-604.219541,-482.743740
36,-468.103000,-549.526002,-468.103000
37,-444.238900,-587.172723,-444.238900
38,-432.573600,-573.434709,-432.573600
39,-432.573600,-574.513780,-432.573600
40,-407.025400,-526.289254,-407.025400
41,-407.025400,-548.682431,-407.025400
42,-407.025400,-537.150563,-407.025400
43,-407.025400,-632.350243,-407.025400
44,-402.382400,-665.548222,-402.382400
45,-402.382400,-654.193596,-402.382400
46,-392.686800,-644.453739,-392.686800
47,-392.686800,-651.048252,-392.686800
48,-392.222600,-673.073286,-392.222600
49,-381.939300,-626.642688,-381.939300
50,-381.939300,-621.651234,-381.939300
51,-381.939300,-627.951578,-381.939300
52,-381.939300,-678.509178,-381.939300
53,-381.475200,-597.262123,-381.475200
54,-381.475200,-651.893752,-381.475200
55,-381.475200,-634.321389,-381.475200
56,-381.475200,-595.558940,-381.475200
57,-381.475200,-638.194469,-381.475200
58,-350.060000,-636.181182,-350.060000
59,-319.999700,-572.325103,-319.999700
60,-319.999700,-524.778437,-319.999700
61,-316.410900,-464.896271,-316.410900
62,-313.586400,-431.278602,-313.586400
63,-306.697600,-426.269009,-306.697600
64,-282.517800,-440.451814,-282.517800
65,-282.517800,-422.656049,-282.517800
66,-281.291120,-464.911485,-281.291120
67,-278.081600,-446.235642,-278.081600
68,-268.747680,-385.519740,-268.747680
69,-268.747680,-456.977960,-268.747680
70,-268.747680,-400.893443,-268.747680
71,-268.747680,-401.450363,-268.747680
72,-253.776320,-414.459283,-253.776320
73,-253.776320,-379.402548,-253.776320
74,-253.776320,-416.898195,-253.776320
75,-253.776320,-394.601745,-253.776320
76,-253.776320,-411.681562,-253.776320
77,-252.196080,-388.915368,-252.196080
78,-247.213600,-356.979026,-247.213600
79,-247.213600,-482.039866,-247.213600
80,-247.126200,-355.303580,-247.126200
81,-247.126200,-348.421840,-247.126200
82,-247.126200,-430.209874,-247.126200
83,-247.126200,-406.393624,-247.126200
84,-230.914480,-353.018150,-230.914480
85,-230.914480,-361.785981,-230.914480
86,-212.207800,-379.218442,-212.207800
87,-212.207800,-401.522715,-212.207800
88,-212.207800,-405.248718,-212.207800
89,-199.615120,-382.762194,-199.615120
90,-199.615120,-420.860716,-199.615120
91,-199.615120,-493.866802,-199.615120
92,-189.312800,-495.788918,-189.312800
93,-189.312800,-488.826469,-189.312800
94,-189.312800,-564.516895,-189.312800
95,-181.920400,-539.900747,-181.920400
96,-181.920400,-531.829284,-181.920400
97,-181.920400,-570.508013,-181.920400
98,-181.920400,-528.302394,-181.920400
99,-181.920400,-573.791063,-181.920400
100,-181.920400,-550.909998,-181.920400
101,-175.233800,-556.716350,-175.233800
102,-175.233800,-554.581235,-175.233800
103,-175.233800,-565.332898,-175.233800
104,-159.239540,-554.524381,-159.239540
105,46.368400,-587.739446,46.368400
106,46.368400,-476.350248,46.368400
107,87.398000,-342.822064,87.398000
108,87.398000,-217.123851,87.398000
109,117.874860,-201.707174,117.874860
110,117.874860,-163.714674,117.874860
111,117.874860,-130.448525,117.874860
112,117.874860,-141.507281,117.874860
113,117.874860,-104.391319,117.874860
114,117.874860,-92.522385,117.874860
115,117.874860,-157.605854,117.874860
116,117.874860,-158.565025,117.874860
117,117.874860,-154.030487,117.874860
118,130.787600,-137.226337,130.787600
119,130.787600,-112.205855,130.787600
120,143.140320,-107.302026,143.140320
121,163.406600,-126.761427,163.406600
122,163.406600,-97.638446,163.406600
123,196.234200,-39.666409,196.234200
124,196.234200,-141.209494,196.234200
125,206.666700,-77.022693,206.666700
126,206.666700,-153.106546,206.666700
127,206.666700,-128.504274,206.666700
128,206.666700,-152.068614,206.666700
129,206.666700,-125.546776,206.666700
130,206.666700,-164.976209,206.666700
131,206.666700,-49.702820,206.666700
132,210.543520,-123.050986,210.543520
133,210.543520,-64.937742,210.543520
134,210.546600,-30.730334,210.546600
135,222.706600,-52.481677,222.706600
136,222.706600,-137.507544,222.706600
137,222.706600,-99.984397,222.706600
138,222.706600,-52.584668,222.706600
139,222.706600,-59.589075,222.706600
140,243.879680,-98.422161,243.879680
141,243.879680,-96.519971,243.879680
142,243.879680,-100.507066,243.879680
143,243.879680,-103.289434,243.879680
144,243.879680,-83.797046,243.879680
145,243.879680,-78.968915,243.879680
146,243.879680,-112.429343,243.879680
147,243.879680,-95.449012,243.879680
148,243.879680,-204.496221,243.879680
149,243.879680,-178.797471,243.879680
150,243.879680,-71.581821,243.879680
151,243.879680,-96.176191,243.879680
152,243.879680,-102.747202,243.879680
153,243.879680,-102.365727,243.879680
154,243.879680,-95.970178,243.879680
155,243.879680,-131.344750,243.879680
156,243.879680,-61.749295,243.879680
157,243.879680,-118.062099,243.879680
158,243.879680,-166.789022,243.879680
159,243.879680,-88.034693,243.879680
160,243.879680,-143.397482,243.879680
161,243.879680,-87.006046,243.879680
162,243.879680,-102.648100,243.879680
163,243.879680,-125.875834,243.879680
164,243.879680,-85.555936,243.879680
165,243.879680,-99.111848,243.879680
166,243.879680,-141.721720,243.879680
167,243.879680,-121.791975,243.879680
168,243.879680,-54.261361,243.879680
169,243.879680,-72.032693,243.879680
170,243.879680,-112.814196,243.879680
171,243.879680,-160.217100,243.879680
172,243.879680,-164.360939,243.879680
173,243.879680,-134.871683,243.879680
174,243.879680,-133.663727,243.879680
175,243.879680,-94.163466,243.879680
176,243.879680,-75.689813,243.879680
177,243.879680,-105.317266,243.879680
178,243.879680,-24.084148,243.879680
179,243.879680,-97.010355,243.879680
180,243.879680,-85.555765,243.879680
181,243.879680,-50.490600,243.879680
182,243.879680,-175.413241,243.879680
183,243.879680,-46.469218,243.879680
184,243.879680,-91.806415,243.879680
185,243.879680,-134.764070,243.879680
186,243.879680,-101.915082,243.879680
187,243.879680,-193.347011,243.879680
188,243.879680,-63.190658,243.879680
189,243.879680,-128.410625,243.879680
190,243.879680,-113.629935,243.879680
191,243.879680,-117.065139,243.879680
192,243.879680,-126.202550,243.879680
193,243.879680,-178.734140,243.879680
194,243.879680,-128.316754,243.879680
195,243.879680,-120.597708,243.879680
196,243.879680,-125.819184,243.879680
197,243.879680,-121.218838,243.879680
198,243.879680,-151.977399,243.879680
199,243.879680,-133.769687,243.879680
200,243.879680,-108.228258,243.879680
201,243.879680,-167.273044,243.879680
202,243.879680,-71.673919,243.879680
203,243.879680,-95.025155,243.879680
204,243.879680,-199.444277,243.879680
205,243.879680,-150.364921,243.879680
206,243.879680,-96.301304,243.879680
207,243.879680,-84.567442,243.879680
208,243.879680,-123.362409,243.879680
209,243.879680,-132.844615,243.879680
210,243.879680,-118.262311,243.879680
211,243.879680,-124.937420,243.879680
212,243.879680,-85.339839,243.879680
213,243.879680,-138.641298,243.879680
214,243.879680,-142.520133,243.879680
215,243.879680,-121.065138,243.879680
216,243.879680,-111.926779,243.879680
217,243.879680,-125.305683,243.879680
218,243.879680,-62.096108,243.879680
219,243.879680,-86.589315,243.879680
220,243.879680,-57.992446,243.879680
221,243.879680,-146.788406,243.879680
222,243.879680,-132.048088,243.879680
223,243.879680,-96.311959,243.879680
224,243.879680,-53.603911,243.879680
225,243.879680,-118.050077,243.879680
226,243.879680,-150.886325,243.879680
227,243.879680,-10.631408,243.879680
228,243.879680,-76.289054,243.879680
229,243.879680,-94.571368,243.879680
230,243.879680,-30.949910,243.879680
231,243.879680,-58.668669,243.879680
232,243.879680,-91.947604,243.879680
233,243.879680,-130.836453,243.879680
234,243.879680,-98.096839,243.879680
235,243.879680,-107.232906,243.879680
236,243.879680,-30.094871,243.879680
237,243.879680,-134.886857,243.879680
238,243.879680,-130.599524,243.879680
239,243.879680,-95.885443,243.879680
240,243.879680,-186.148409,243.879680
241,243.879680,-98.149644,243.879680
242,243.879680,-55.636084,243.879680
243,243.879680,-110.688987,243.879680
244,243.879680,-34.728386,243.879680
245,243.879680,-113.435051,243.879680
246,243.879680,-118.400777,243.879680
247,243.879680,-85.776743,243.879680
248,243.879680,-76.195076,243.879680
249,243.879680,-106.688587,243.879680
250,243.879680,-207.081232,243.879680
251,243.879680,-172.886040,243.879680
252,243.879680,-141.677986,243.879680
253,243.879680,-120.339861,243.879680
254,243.879680,-156.850048,243.879680
255,243.879680,-203.959720,243.879680
256,243.879680,-204.219029,243.879680
257,243.879680,-135.368623,243.879680
258,243.879680,-122.173999,243.879680
259,243.879680,-94.274710,243.879680
260,243.879680,-92.817824,243.879680
261,243.879680,-127.116320,243.879680
262,243.879680,-144.132334,243.879680
263,243.879680,-144.966181,243.879680
264,243.879680,-151.368151,243.879680
265,243.879680,-166.748548,243.879680
266,243.879680,-151.606064,243.879680
267,243.879680,-85.168073,243.879680
268,243.879680,-161.305440,243.879680
269,243.879680,-18.553261,243.879680
270,243.879680,-184.737181,243.879680
271,243.879680,-160.706673,243.879680
272,243.879680,-206.060747,243.879680
273,243.879680,-191.512913,243.879680
274,243.879680,-119.964862,243.879680
275,243.879680,-136.304267,243.879680
276,243.879680,-140.668812,243.879680
277,243.879680,-78.454831,243.879680
278,243.879680,-121.455092,243.879680
279,243.879680,-133.590962,243.879680
280,243.879680,-129.540965,243.879680
281,243.879680,-140.075618,243.879680
282,243.879680,-155.128227,243.879680
283,243.879680,-109.853616,243.879680
284,243.879680,-137.962866,243.879680
285,1000.000000,-68.108432,813.814333
286,813.814333,-125.266913,813.814333
287,813.814333,-99.054227,813.814333
288,813.814333,-199.147407,813.814333
289,814.103667,-383.403889,814.103667
290,827.348333,-239.328343,827.348333
291,828.399000,-284.516919,828.399000
292,828.399000,-57.100138,828.399000
293,829.340000,-119.971829,829.340000
294,829.340000,-116.455846,829.340000
295,829.340000,-165.509275,829.340000
296,829.553000,-102.658490,829.553000
297,829.553000,-221.298218,829.553000
298,829.837667,-49.100873,829.837667
299,831.007333,-70.046994,831.007333
300,832.911333,-192.844472,832.911333
301,832.911333,-98.581963,832.911333
302,835.855000,-170.874285,835.855000
303,836.628667,-164.424446,836.628667
304,836.628667,-284.461515,836.628667
305,836.628667,-224.327975,836.628667
306,836.628667,-405.923556,836.628667
307,837.174667,-558.581349,837.174667
308,837.174667,-592.824150,837.174667
309,837.174667,-520.523122,837.174667
310,838.803333,-170.768007,838.803333
311,841.902333,-366.548017,841.902333
312,841.902333,-419.861757,841.902333
313,841.964667,-258.637647,841.964667
314,841.964667,-267.495482,841.964667
315,842.015667,-401.904003,842.015667
316,842.015667,-535.862118,842.015667
317,842.015667,-564.528562,842.015667
318,842.015667,-648.488049,842.015667
319,847.881667,-331.962109,847.881667
320,847.881667,-262.134001,847.881667
321,847.881667,-152.068076,847.881667
322,847.881667,-290.349552,847.881667
323,847.881667,-554.112311,847.881667
324,848.991333,-340.903001,848.991333
325,848.991333,-187.590128,848.991333
326,848.991333,-68.182530,848.991333
327,848.991333,-31.979422,848.991333
328,848.991333,-344.112234,848.991333
329,848.991333,-274.245468,848.991333
330,848.991333,64.245975,848.991333
331,848.991333,70.978543,848.991333
332,848.991333,66.061048,848.991333
333,848.991333,123.104738,848.991333
334,848.991333,144.276237,848.991333
335,848.991333,49.526115,848.991333
336,849.299333,-45.468218,849.299333
337,849.299333,-69.524373,849.299333
338,849.299333,-5.569298,849.299333
339,849.299333,-144.440940,849.299333
340,849.299333,-307.111021,849.299333
341,849.299333,-252.987760,849.299333
342,849.299333,-145.211694,849.299333
343,849.340333,-276.444406,849.340333
344,849.340333,-248.195032,849.340333
345,849.340333,-192.849370,849.340333
346,849.340333,-128.289769,849.340333
347,849.340333,-167.923571,849.340333
348,849.340333,-326.191313,849.340333
349,853.854000,-425.866647,853.854000
350,853.854000,-491.888170,853.854000
351,854.114667,-353.734920,854.114667
352,854.114667,-178.605998,854.114667
353,854.114667,-444.242441,854.114667
354,854.114667,-530.500255,854.114667
355,854.114667,-437.162162,854.114667
356,854.114667,-357.251171,854.114667
357,854.114667,-430.707334,854.114667
